Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
0,East North Central,IL,Adams,68043,13.7,17928,25821,512419,198
1,East North Central,IL,Alexander,10180,7.8,12883,1697,43050,124
2,East North Central,IL,Bond,15738,12.7,15760,5041,67109,180
3,East North Central,IL,Boone,36180,12,18732,9200,181302,306
4,East North Central,IL,Brown,6247,9.8,14337,1233,11981,155
5,East North Central,IL,Bureau,36049,12.5,18768,9772,186186,220
6,East North Central,IL,Calhoun,4948,7,14968,683,22147,143
7,East North Central,IL,Carroll,16872,10.6,18958,3607,67162,196
8,East North Central,IL,Cass,13330,10.6,17687,4608,67003,188
9,East North Central,IL,Champaign,169096,34.1,17852,59649,1331408,336
10,East North Central,IL,Christian,34920,9.3,18263,9306,230272,200
11,East North Central,IL,Clark,16284,9.2,16189,3922,80682,167
12,East North Central,IL,Clay,14435,7.6,16050,4104,63652,162
13,East North Central,IL,Clinton,35285,9.2,18600,8203,189268,218
14,East North Central,IL,Coles,52357,18.7,17437,18347,367892,238
15,East North Central,IL,Cook,5136877,22.8,23983,2314172,38705493,411
16,East North Central,IL,Crawford,19911,9.5,18035,5683,115325,190
17,East North Central,IL,Cumberland,11110,8.2,16194,1193,29973,169
18,East North Central,IL,De Kalb,83441,26.1,17833,24220,502956,354
19,East North Central,IL,De Witt,16824,11.8,18406,6484,118402,203
20,East North Central,IL,Douglas,19799,11.4,16331,4947,121455,217
21,East North Central,IL,Du Page,853458,36,30476,463498,8792148,568
22,East North Central,IL,Edgar,19984,11,16402,3930,99594,187
23,East North Central,IL,Edwards,7262,8.4,15754,2660,28014,158
24,East North Central,IL,Effingham,33009,13,17980,16660,366147,214
25,East North Central,IL,Fayette,21235,8.5,13955,4450,113070,175
26,East North Central,IL,Ford,14127,12.1,19067,3813,80964,213
27,East North Central,IL,Franklin,40809,8.2,14701,8823,243163,184
28,East North Central,IL,Fulton,38788,9.5,16721,6875,218305,189
29,East North Central,IL,Gallatin,6779,7.4,15801,1416,17403,124
30,East North Central,IL,Greene,15643,9,14015,1843,49861,157
31,East North Central,IL,Grundy,35159,12.5,21214,11242,227143,319
