Index,Sector,SubSector,Symbol,Name,Price,Change,Volume
0,Consumer Discretionary,Advertising,IPG,Interpublic Group,22.62,0.08,2347156
1,Consumer Discretionary,Advertising,OMC,Omnicom Group,84.01,0.05,1091615
2,Consumer Discretionary,Apparel Retail,FL,Foot Locker Inc,66.62,0.52,1722314
3,Consumer Discretionary,Apparel Retail,GPS,Gap (The),23.18,-0.19,2968091
4,Consumer Discretionary,Apparel Retail,LB,L Brands Inc.,72.19,0.31,984779
5,Consumer Discretionary,Apparel Retail,ROST,Ross Stores,62.53,0.6,2338934
6,Consumer Discretionary,Apparel Retail,TJX,TJX Companies Inc.,74.69,0.02,2189545
7,Consumer Discretionary,Apparel Retail,URBN,Urban Outfitters,56.58,0.42,2882065
8,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",COH,Coach Inc.,35.94,0.9,4287905
9,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",HBI,Hanesbrands Inc,26.1,-0.02,2689086
10,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",KORS,Michael Kors Holdings,49.62,1.77,3381042
11,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NKE,Nike,54.95,-0.23,7671328
12,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",PVH,PVH Corp.,108.05,0.86,827789
13,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",RL,Polo Ralph Lauren Corp.,99.95,-0.12,671436
14,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",TIF,Tiffany & Co.,71.77,-0.99,1901127
15,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",UA,Under Armour,38.74,-0.17,3982690
16,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",UA.C,Under Armour,93.09,0.71,3195742
17,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",VFC,V.F. Corp.,57.14,0.41,5976463
18,Consumer Discretionary,Auto Parts & Equipment,BWA,BorgWarner,34.56,-0.33,2095241
19,Consumer Discretionary,Auto Parts & Equipment,DLPH,Delphi Automotive,69.57,-0.2,1475330
20,Consumer Discretionary,Auto Parts & Equipment,JCI,Johnson Controls,44.2,-0.35,6704291
21,Consumer Discretionary,Automobile Manufacturers,F,Ford Motor,12.11,0,41175453
22,Consumer Discretionary,Automobile Manufacturers,GM,General Motors,31.72,0.75,32234806
